Dataset,Algorithm,Best Layout,Maximized Power
Perth_49,DE,"[[453.8303759809321, 26.067128302987612], [574.7045450536128, 523.4373191778036], [511.1406479485661, 239.46647274774023], [842.2899993306189, 275.9657779936588], [559.2697606866179, 67.48190989235235], [681.756175386222, 848.0634905712325], [761.7850775200291, 123.47952233790181], [494.2645142082479, 80.75177041883234], [654.0660131368086, 199.3728438852565], [767.9475107908643, 372.99433823107387], [721.3771479136275, 381.2397484248888], [153.58161024744533, 614.8254526860095], [21.143269712624203, 293.42396569069007], [743.9324436003604, 399.41598566315065], [101.63718758156051, 589.5397477830787], [695.6195553396863, 540.827911696064], [380.7512474189905, 170.7159509245667], [398.45209010980034, 584.1745135873555], [943.1068873029626, 251.16485369196084], [878.684935633695, 65.29850017028349], [134.31029403394, 856.6298932647492], [355.09706225127, 571.8587421438317], [295.6455231373633, 325.2692134102876], [892.40277421306, 810.6064896660288], [915.5522447169235, 811.9910536260365], [630.3695564736081, 843.9772072734314], [539.1749587911828, 424.68982325157276], [264.644305771491, 753.2040931138379], [238.49849038681856, 798.1631527559057], [740.4499661001852, 148.93628640362545], [157.35476601161685, 238.6290542194276], [320.89209500215077, 541.5826140668778], [521.6243946702161, 445.60971936320647], [760.061301742501, 62.04308549053326], [459.96401074239657, 867.4769937412015], [458.53207681553596, 703.3736735159628], [886.670240974295, 309.1959659894402], [125.09741046436034, 317.52295201291895], [684.3385941801818, 433.45245981079705], [7.547381968017419, 880.8420612504881], [475.79658670388807, 325.18219090067805], [352.72870758603614, 148.97491563504207], [984.9950494900338, 659.1023145653367], [127.68924750358542, 700.2412359908732], [350.6976565619799, 681.7446731351052], [160.1837978834921, 344.3488420538309], [564.7874418174514, 588.8309026725422], [483.9705577253812, 833.0472193966311], [381.4092246031619, 221.6411468684235], [560.4286928872948, 726.2961983931231]]",8204922.85
Perth_49,IDE,"[[343.7425176210778, 78.03951048406611], [447.03472490095794, 867.1897689491914], [411.09916683918635, 356.7082549431554], [452.93451658993376, 342.5906270858038], [15.8045505225831, 368.760299218717], [964.9791306038251, 23.941963855875088], [820.5384261517327, 563.9227554669945], [526.9994750600305, 184.234409479745], [735.0957811134269, 381.67532830614897], [944.6153391572718, 76.80756780159271], [650.989424457442, 343.84443766788615], [785.7868023141261, 832.024026442999], [272.99453226347464, 950.0852230277229], [905.9233570908484, 566.2809376426493], [925.9313393855422, 107.57877085870359], [677.0366829815267, 421.7911376968466], [77.99083728794045, 962.4581906521473], [540.2682778548583, 140.60283238964007], [469.3605029024887, 325.9956465758815], [340.17846405702403, 518.8396260678952], [37.98425344943223, 255.20923845683936], [815.55126198367, 19.494802467180932], [548.9339145928213, 86.80538128997097], [842.2421351896946, 107.50541041228587], [562.1000107272419, 302.11110786267477], [713.229484111348, 721.3309427763922], [821.6655839388042, 385.522314236199], [601.0246315691467, 542.7034205940059], [558.3804557080873, 182.72628104631337], [995.7789234948063, 191.12560715831916], [370.60388175908264, 214.6625232183854], [402.8101086928335, 665.0959451983884], [320.9775998351979, 64.83471634614915], [740.1687931019726, 94.1950766886913], [731.002752754221, 362.6307471546327], [794.5942660681164, 140.889834960543], [220.54290256997945, 784.2246948664956], [288.45373510392756, 534.6668847230422], [231.83234739193983, 121.86674964168554], [891.9437673267862, 224.48712048197746], [517.2702875356362, 943.1937610224369], [874.2785726915184, 618.9750149412203], [636.1171588749216, 802.3275262873037], [627.4909841727944, 934.576104516803], [970.4213211573987, 566.8746956772442], [945.0566019004727, 957.3735724280036], [244.85907109567455, 800.7407557106271], [881.4162890020159, 57.16354220628671], [511.1157173571451, 251.25071965378277], [245.17053561877543, 495.1385163042975]]",8204922.85
Perth_49,LS-NM,"[[953.8481923423025, 739.271921643139], [195.21256786374087, 899.7314582398735], [319.80776465205764, 888.2588094544893], [397.161094236171, 580.0730528162218], [296.55697625111867, 956.5934102770848], [451.63938347491836, 477.4439792459701], [968.9947694401397, 596.6491283903143], [535.4580782769917, 140.7033146416149], [592.9597372249431, 368.5706319376907], [774.4129288559719, 249.5342736580197], [463.2956872998574, 269.0334426347837], [75.25339598037884, 665.3641725817945], [991.9511605584993, 211.6692036956692], [415.9789020754825, 597.9271071593668], [246.13737263501744, 769.7293979322784], [46.05726259650944, 304.27940189076185], [351.1979935182614, 225.72790399642818], [593.9162053375943, 264.34003110130357], [697.3233855036086, 113.18128955615114], [369.8503352571285, 929.7172003936154], [460.0534497611596, 532.7841599617477], [785.4317058938077, 281.19244455230074], [736.539683887915, 392.6067216249273], [607.2232712862136, 148.73513223906232], [908.7435028063032, 396.5071278994673], [955.2852199032267, 145.17421381712848], [655.8611170807318, 167.2449524036912], [699.9990044321704, 414.4170867545163], [252.04784484295396, 913.7377851201973], [773.8392497593235, 849.1933151072764], [557.4832439898696, 372.3906129493444], [182.65640306973074, 721.9178845398355], [186.73962884725282, 446.0319590493278], [21.096336095184466, 524.3130238486518], [809.2651071161399, 192.35938697711663], [29.959076692195662, 496.14132279877765], [729.6455192845058, 43.89636347367498], [656.0964359040506, 235.4528278709025], [379.0004410076049, 956.2530048157932], [383.2755835453, 683.4008717655241], [212.52445632668181, 751.9726405115606], [109.1372767263037, 216.73609986891452], [913.9076259777863, 736.5104680777839], [58.54661367821101, 265.84089127105824], [322.69043397841347, 137.6700770375263], [338.85284739377516, 999.9214063042114], [719.0075102673239, 393.0765101691879], [367.99241653349856, 582.8796785699727], [76.92862754261553, 79.21699144275884], [235.51572926752672, 267.1618379081364]]",8204922.85
Perth_49,DLS(I),"[[310.44949441785354, 957.1195071526123], [192.2115461689964, 793.1109910889218], [472.44708077230104, 850.3543829618101], [902.267900411697, 678.2647066232897], [99.20647888619816, 160.3814309241377], [716.6317051500245, 562.8556308043813], [294.16150934984086, 955.8126154831662], [448.56672657347974, 501.74677853795527], [505.9811899722145, 470.3089442342021], [56.37067811689167, 185.47776109451752], [737.8198806345926, 998.282811407611], [544.5046837080635, 888.9474534520529], [545.1036477961871, 505.8341246047561], [720.4841777316086, 528.4904738042819], [672.8379764747344, 982.7826278393123], [626.5572680307806, 627.172887294239], [252.808505168859, 256.7787967424976], [109.06094702060598, 738.7486567211594], [326.6894951228289, 483.3988978641913], [140.5665933858161, 779.4810880084854], [428.5221871955434, 478.29923802117213], [758.4571498380911, 391.81381212336754], [937.632342040013, 804.4250433341513], [423.46265343642455, 173.95097725267695], [464.8099800140213, 635.1317171906601], [139.6907255618056, 444.7139185906642], [210.56539814680363, 123.57225086029366], [15.581776337778464, 254.16857831651663], [650.381299601116, 85.92188893825625], [51.14729927404604, 228.46972633754658], [603.0407275615023, 905.1871474907496], [14.489092940770721, 602.327225499101], [205.04929771745162, 810.3383548212859], [244.16600714354675, 268.0290042142848], [890.5851781945024, 206.52229556398737], [825.695755178434, 900.9066167701862], [654.5310727820688, 866.0900417854518], [688.5260324107093, 242.75870697368785], [931.1560956584433, 707.4634898848503], [958.6890028699871, 441.6780913472195], [912.7990243443581, 739.3916820226248], [446.9869379342647, 477.84211673851087], [655.0441918676822, 876.7867441762589], [694.2120579095804, 54.92009015938304], [588.8073480700142, 870.7516863131159], [97.16403525736617, 495.8709006339528], [234.8658907808363, 143.45209501832989], [49.99673961832507, 384.50956893072885], [770.7996819006951, 279.7119767282188], [981.2249700229343, 334.0463574735502]]",8204922.85
Perth_49,DLS(II),"[[180.73187963638094, 432.11026851009115], [973.6144723929017, 329.62615196434433], [703.7482883062328, 704.2014717366135], [11.168675727958878, 156.66955494322377], [530.9297525973212, 476.56025325777773], [903.8855080243399, 961.9806406200569], [520.6483089680405, 65.23967119737672], [567.6619256709173, 36.806105736465035], [765.7674396904513, 14.27340411383382], [523.8560296839698, 349.59463347626905], [643.4817830407846, 512.0318366865362], [950.6971404601326, 274.5363365689607], [905.7491433126864, 703.7464107330658], [107.29983809080012, 105.3921430436352], [588.1712219062557, 929.5370139387959], [613.9873757721787, 548.7284198075696], [481.69000646861116, 567.7537264174274], [82.01404196069761, 708.3528694406413], [825.448332006021, 674.2832523655936], [275.54309201656235, 184.47098511245153], [691.8411603784751, 731.8365038507474], [711.9511294479796, 805.4240813312919], [642.8566695436509, 753.5640660139476], [74.46276640436666, 398.4129080467397], [876.3249710708576, 261.7196544748137], [366.5721724046874, 420.7111986124838], [303.4954124782117, 372.70078323244957], [241.2679841106301, 322.1891985441293], [650.8202238833313, 203.67509850669109], [138.0329855282866, 46.69115137321078], [391.2482886606962, 617.6432471087335], [691.6808611692843, 613.0790891267903], [39.077330743779285, 645.2856427859637], [539.7305512288067, 744.6028904749179], [607.2674943709353, 543.1978290436535], [432.5792067303995, 119.32806626787817], [259.0522135137755, 711.3681525123421], [962.6895433440094, 326.9749941373571], [361.6725286486014, 999.0127373030101], [121.03648505891707, 74.15598563138882], [424.9246657277056, 127.79545102197454], [844.4108285851449, 649.6267259810008], [765.1234937520024, 683.1108780776062], [781.9741281518325, 924.9000632222336], [422.82925627826415, 63.57693770265826], [927.7457000775687, 682.4884484650063], [66.89354543531856, 117.87114657211428], [568.303597400771, 220.15007007696806], [492.4493855031, 846.5099935562188], [277.2165373707833, 506.6313043792812]]",8204922.85
Perth_49,CMAES,"[329.2824710860466, 290.39578731102057, 183.75927191390946, 335.57257267011505, 650.7114207280222, 787.0341910353472, 328.3131625917244, 423.20569371104466, 218.66825744437114, 710.7872281782891, 425.59888413823035, 845.0228878260173, 462.58923319076126, 387.0317735232035, 219.16641696427862, 707.1156985300889, 112.88790071852057, 690.854902406241, 396.8232258859548, 671.7863270726618, 636.5688229408431, 327.75407881450803, 229.0156661166242, 546.9460919418003, 843.0833057849096, 127.11271112365216, 487.81575563978794, 452.5037944128973, 350.85938102716733, 981.2274588498898, 715.8727240321355, 846.918597802427, 487.5656429641493, 337.46928143651866, 786.6871659615631, 962.0700360781922, 506.95684574657474, 738.3499886627097, 265.0164728386521, 869.4001309285377, 957.6325844867052, 641.4254728089016, 565.8817836456876, 942.9942978991849, 774.442891884683, 285.01521598553035, 600.2684073623369, 163.35544128300035, 394.0926693289729, 165.7299430053318, 366.370155354031, 657.1062351551393, 383.2441309227918, 420.70921490059504, 182.30661756041903, 865.5049293228157, 290.10985917078153, 268.3179249587736, 510.278016927978, 243.390768506481, 963.9431276410597, 576.2263426424223, 899.3131412550771, 437.72622625755616, 843.9716266779805, 338.8642231301845, 498.11909896586303, 386.7541307473962, 267.8193137415468, 257.4611800041991, 972.4489154077472, 702.7641166902105, 580.0486516409773, 512.8555743743665, 981.5866773371246, 725.1670657390806, 968.4017885261503, 122.98892001081988, 664.1391495882966, 744.9845624490257, 32.14903350735506, 682.1945694515716, 85.42196722594198, 720.0937498328692, 973.6991103286465, 676.150874928413, 294.1544226649836, 627.5991039883335, 683.1841505606359, 93.27543899456394, 312.6674157933382, 741.0637714054329, 125.31972976783155, 143.43199118902314, 308.76467729873093, 345.5065760068717, 731.874836005625, 712.4535505550399, 520.7715731152721, 610.7756881172551]",8204922.85
Perth_49,2+2 CMAES,"[129.54222582584217, 938.4847931613626, 860.3143930507325, 121.0082031302489, 207.09401557756615, 346.60730611251836, 3.4963280163557595, 548.1999257032367, 46.79426227565926, 830.4959150844386, 282.8308588540577, 993.2652888367279, 432.70164505396696, 701.8284776904095, 942.4074950546534, 772.3387234257256, 916.1019056615432, 796.2377228068234, 449.59749715458025, 845.9226658621319, 852.881125994229, 418.2946069139762, 925.1481807213232, 533.0398348259366, 288.72749521184556, 643.8703219589999, 209.23508121951198, 312.5791694199586, 557.9711183153323, 561.7700525259729, 344.2670748277291, 837.3911386613073, 40.888909322903736, 20.700690355812373, 94.06990656463948, 925.2187152599544, 935.584290211677, 189.27711065826273, 294.883662942363, 401.5562096394909, 670.5183760352813, 279.1963476217967, 491.28703110567193, 595.406946916616, 354.6272536665335, 41.88594352292743, 494.02933762604863, 358.5944589118886, 43.99453628708648, 510.242065421714, 679.9389211149894, 249.1621597471238, 684.9302055688436, 109.49453423708519, 610.1858635799091, 640.6656251674043, 148.47393738315859, 30.783277807817953, 893.6963910383181, 600.3529080406188, 204.97254939940913, 341.6736815224459, 948.4314643636028, 819.8130594906107, 220.25921383215558, 548.132358775506, 871.4607817112872, 592.8271908231671, 373.398286619758, 39.21669777669155, 566.5107615079964, 320.6357658964189, 952.6478585369507, 207.14115349069945, 423.58802283821313, 750.2512018652825, 315.1031925506048, 782.3565671901096, 361.3962088136408, 708.4878897312869, 840.6712697234835, 980.8998494674815, 52.116500526191125, 898.0140862867777, 134.06183363750557, 811.9861849098234, 148.6206016834434, 714.5344188704498, 267.8594595107679, 957.6800130188585, 518.8685784639879, 130.7559866427353, 47.69261067439927, 475.95806765766923, 543.0919853666077, 824.641571568257, 83.17240044858279, 544.372438096922, 352.7149821914242, 529.2243942683723]",8204922.85
Perth_49,bGA,"[[0.9930453894449887, 0.3684789350175539], [0.7775617175567662, 0.8410304141351703], [-0.5072609039324791, -0.5045838804419005], [0.8174014633119542, 0.6969052462847605], [-0.9665698995164007, 0.5592877733495167], [0.5164233302004138, -0.3804460579289811], [0.9093506309196542, 0.4001188099419717], [0.07644739974878423, -0.3377990525304989], [0.6595778363817286, 0.23051641078342233], [0.35224185443645273, -0.23159263228156068], [-0.9032044977904706, -0.37713329127828155], [-0.738721541724251, 0.38472686364432773], [0.21879038866729705, 0.23972675918718456], [-0.34058884801235345, -0.8395425033432992], [0.5636834372187685, -0.8239914126393619], [-0.835395688873401, -0.8923266497947767], [0.020960838227296996, -0.906919655410041], [0.14269218274033624, 0.33828655893464554], [-0.6799688839903142, 0.8299701759210281], [0.09346840064133399, 0.8234450168444221], [0.5796574228899902, -0.3153722082189384], [-0.8219659275402404, 0.9103293988206804], [0.531910584327894, 0.12485328688780317], [-0.2152839069153043, -0.8401678156902735], [0.9942564366536271, -0.012465685977509189], [-0.17917207417404868, 0.6006089329901019], [-0.9376047831059928, -0.029914230999774638], [-0.20990268021531944, -0.2429653180529272], [0.23610828030432107, 0.44446657432516146], [0.944498775735461, -0.7002779156052445], [-0.12855723883382197, -0.7524419949186443], [-0.6434565676288774, -0.7367774169676726], [0.006899029222101838, 0.4218937582341957], [-0.048611135739419886, -0.20714447519613732], [-0.24046943308321933, -0.4863073672743847], [0.5390521150544916, -0.2570923941460965], [-0.8844274248012133, -0.9363048057646992], [0.6263591535794484, 0.3796185666209033], [-0.5042413325381676, -0.37422315401503903], [-0.876374062191667, 0.8660809357786456], [-0.926938472000911, 0.4572307305702785], [0.5145764206223613, 0.4473748042397143], [-0.41820065433384934, -0.6248496063008787], [0.9471095784637207, 0.7695720127097372], [-0.3081708344272027, -0.7168233310229579], [-0.43362413148951917, 0.8337089965852795], [0.3820591980832577, 0.06703087887259951], [0.8942710129699414, -0.3078923019138664], [-0.7882802423322273, 0.6503523483977423], [-0.18712106904748282, -0.044712395808470085]]",[8204922.85]
Perth_49,bDE,"[[-0.13619216811911272, -0.5191306658867467], [0.19785270363639118, -0.8391755633933917], [0.46469390454588466, -0.9222998312894224], [-0.9608131260311048, 0.7443265562308395], [-0.3180973647959622, -0.2334248708435922], [0.9353070073103245, -0.4054136563606787], [0.43082163140018315, -0.4503106174126079], [0.342192956368808, 0.041683223712400075], [-0.9587721871461166, -0.34401897726509767], [-0.39186305992006343, 0.733309325428086], [0.30615454014288335, -0.5561409364926757], [-0.9763140017742131, -0.748919380033751], [-0.3553620613295374, 0.870861302142429], [-0.01723245137308349, 0.2759230374465653], [0.03450750748479048, 0.6380788550024401], [0.4070138557553211, -0.5466004250469598], [-0.5280043199271127, 0.6656185499834668], [0.9125478401279692, -0.524758538545842], [-0.8877195827458781, -0.5095219269764407], [0.6107634023491728, -0.305946051531087], [-0.04276945728883952, -0.6740759194815347], [0.2598371128648642, -0.8742520676810404], [-0.9482081256306583, 0.03821800828893207], [-0.01228451947256226, 0.13041827107972392], [0.7559666971730332, 0.9945018391252842], [-0.33317039454081454, -0.24051598164384735], [0.6391016268363525, -0.4535849234389393], [-0.3287576655250044, -0.6601372095513933], [-0.6125174203313923, 0.6352021958446122], [-0.015650975841177805, -0.10082861539575694], [-0.9825084433250666, -0.9473325637356975], [0.7075173499745886, -0.488612451111188], [-0.057223108843322046, -0.8688495643607352], [0.5329092044107966, -0.7068782994572573], [0.17108787733737807, 0.6969906270392434], [0.6609192102819619, -0.12658663967838268], [0.22016082574987683, 0.29835943770186546], [0.8793670698154314, 0.9012407423932982], [0.39995515042374796, 0.3137758129128554], [0.6385116103627635, 0.26515256049191627], [-0.9178288216018267, 0.4825721196310413], [-0.7181183635592043, -0.06559576523945332], [-0.7349884790512184, -0.3885282239727281], [-0.7306774292218139, 0.27609215211422633], [-0.25616195640263595, 0.5373020125623285], [0.44000105735139416, -0.08674586791808148], [0.6729578983438721, 0.7133764602288637], [0.42477780581156444, -0.4908066304217571], [-0.21276023370702268, -0.9251761066933637], [-0.45483035280717976, 0.42956803996672543]]",[8204922.85]
Perth_49,bPSO,"[[100000.0, 100000.0], [-100000.0, 73269.19489408299], [70498.70644740592, -78331.12234332447], [-39030.126850781475, -100000.0], [-49187.84435373741, -74658.36508886708], [-59784.9523036481, -100000.0], [29511.275643067696, 55777.907511140314], [-93391.28935164702, -100000.0], [77738.76656430424, 44176.745328809004], [-51660.72639061615, -100000.0], [26990.69464669982, 62804.06574236177], [1612.700445981478, -98227.34115849945], [-100000.0, 100000.0], [100000.0, 100000.0], [59178.90061861405, 27276.803599752326], [-87923.27147036497, -25450.91120720555], [47370.618995234094, 5288.829337437928], [100000.0, -3225.8171197081974], [57606.061752273396, -80121.84675493743], [-33619.562934186215, -74524.0782649841], [52100.12719294592, 77844.75317460162], [-100000.0, -15185.821200900173], [-82489.99104297128, 63332.14893424811], [-1990.524040519027, -100000.0], [-100000.0, 49158.90596027934], [-100000.0, 40507.189284384134], [-100000.0, 5544.122357437862], [100000.0, 9849.62795672589], [100000.0, -58238.03725246417], [90776.52857895503, 51510.61718831495], [-3001.5352370360997, 100000.0], [80816.5834648879, 100000.0], [-100000.0, -9745.551204103584], [-70748.86032411426, -100000.0], [-22898.572082177183, 68597.59998384636], [68614.77033051601, 89316.51687128397], [-28548.76969690453, 99608.6494028698], [-29415.925953650283, 23482.377240578207], [-82408.87224693882, -100000.0], [-100000.0, 13705.935257967962], [82154.36545178908, -100000.0], [-27685.728251883425, -62446.099898718865], [-42712.54169514561, -83569.36593391969], [100000.0, 100000.0], [-99067.59804081878, -67784.46229536632], [88525.83949429271, -58761.66112740565], [-100000.0, 64498.11847080015], [100000.0, 100000.0], [32848.04943250396, 35474.53259373439], [54736.513983059325, -99033.64006186438]]",[8204922.85]
