Dataset,Algorithm,Best Layout,Maximized Power
Perth_49,DE,"[[526.2932624929114, 875.162634088851], [915.1708739452697, 558.8372742968922], [793.4992733888535, 503.6662793829799], [974.0307544323975, 259.7865632438221], [750.433235623208, 864.7765745732597], [680.204250599191, 827.1166971303753], [623.2626749120918, 618.8206271570722], [836.4564491210353, 833.6713796199258], [263.8527235673161, 798.2856777935971], [210.61740617655363, 934.1340473699313], [950.218876727608, 42.898649837159894], [4.182064015823187, 786.1434413274808], [421.06769623925055, 58.61258760013516], [933.1228784717451, 227.94023370432149], [270.32605721309534, 214.45220248199934], [141.2031142681612, 145.35142365989373], [283.67951454180985, 909.6225187515361], [383.67595907791565, 469.85960610943937], [852.4973039109113, 134.16007350747373], [458.2485497873856, 826.3925601095186], [257.9189858713761, 201.70698061064752], [126.89640136850568, 554.6652467278799], [797.9647005247451, 452.9979169162769], [184.70887669701466, 176.3676786863311], [361.55230518169634, 946.4088757575671], [76.71329386938663, 361.89808264366485], [887.2177356319839, 336.52010606352303], [412.2862254464185, 9.628832352730228], [755.9039245958056, 264.5260797828144], [641.6564880167318, 765.1067958696781], [876.5341584913406, 340.7098041345331], [774.876727583737, 297.9657870522229], [358.47745800739955, 63.67624727999896], [496.4111778978258, 380.73962038429676], [568.3879287063373, 349.91721817967084], [458.8697653568472, 924.6565923045009], [692.7656254260869, 753.2564796416334], [625.8819295769587, 752.1717713111516], [533.0226621589393, 755.8388168458098], [187.2853311002604, 764.9524932847424], [298.72035990095935, 199.49927002289462], [558.7017885318162, 912.5026234290052], [266.42442742727974, 845.8781980741485], [506.6381168226709, 390.5130255007382], [867.2702806429178, 451.3745432562717], [636.0664312120097, 253.97456632368025], [306.48873290553047, 539.7944394864287], [287.4850767688147, 85.53027359169005], [100.74419303110272, 683.6641262396174], [722.5191640364874, 60.41534224010468]]",8204922.85
Perth_49,IDE,"[[971.1313776859051, 752.667202323854], [666.2064666078448, 677.5833156943572], [943.8345342721312, 902.6910089609531], [293.37895243945025, 827.3676945733635], [19.069512535862486, 152.550026788156], [491.39048576017365, 366.0820321063911], [994.5292274733049, 805.052366401896], [374.2741419330705, 967.297016800559], [455.446162900256, 411.5913794304015], [340.5609399476115, 363.55505163552994], [581.9072615369649, 275.77571687172735], [767.8742282193723, 817.2166821890271], [258.9802149141502, 638.6040181593074], [306.0400516817458, 556.0465105673404], [434.81902001373385, 314.503547928207], [178.85930863562174, 722.6197782300536], [133.71792605067367, 975.1281171080564], [299.75911856862456, 167.2328227699199], [181.49826331874294, 88.86485411652376], [545.3997404282993, 826.246148062764], [355.31110819487344, 577.7662285500031], [723.6459703238879, 382.28250821146014], [56.71390396271306, 921.8142928501277], [647.8288422458069, 466.1358177924146], [161.20017826646722, 247.09785600888102], [512.8605180622002, 845.528657559796], [911.2279872730958, 994.5397580503584], [131.3398272172841, 352.71966224945544], [406.0375019521067, 452.36298484023416], [442.1274016738823, 160.76961519689138], [837.208599569019, 496.83957321708607], [518.8133132400604, 770.8983359867609], [303.9682497667086, 639.5405221778042], [731.9072118004943, 282.88215717530693], [529.5142346336602, 602.7481163154736], [759.0545718230446, 104.73551679059659], [941.7387957176586, 371.7921203434538], [939.2761552029635, 264.9429041637327], [583.977649137999, 504.59969153006665], [545.6653979009768, 709.133522067401], [444.7598126971105, 644.5424381170442], [777.8626010455176, 595.892179269178], [881.4385599092951, 510.5427999837814], [146.76040481129724, 75.29132287961505], [793.5127763309606, 84.86532556899982], [771.3801989541943, 739.3804981405422], [868.632648133163, 728.635621298823], [627.7334802425, 273.989062140624], [771.7880361766312, 171.2407049908595], [964.5541860398442, 754.3315607897854]]",8204922.85
Perth_49,LS-NM,"[[107.65184933866412, 185.74632160560577], [88.04287330184646, 245.82093568266095], [946.6389898491709, 903.0210126366692], [946.1916024104029, 654.1259445407034], [227.21810997197133, 791.8629060744485], [546.7410158679733, 914.8479449573379], [430.6180327550263, 313.04901570929945], [771.9746075072243, 129.05601798415788], [202.13322873034656, 179.61451254826522], [714.7503477162039, 251.78808460754243], [922.0765596775467, 319.6951598241706], [28.16161146817231, 946.9276053140827], [225.3661500040768, 340.5268576626556], [695.6927280139805, 356.19204920728697], [987.9991022487334, 579.7116500870474], [134.17138916937478, 655.1967479215317], [188.94876949591188, 414.15336029315], [291.41929682828606, 834.6893398342048], [158.26944741628836, 383.7111568576388], [251.66051785646815, 147.43909421174152], [867.3335180379079, 44.459198816237276], [430.8535453389535, 134.45807359322592], [801.7934294743613, 716.3512023157957], [584.2579466012376, 278.59535163639595], [479.1968081292569, 300.7262118582322], [201.4006117991003, 50.41660283230887], [606.2834999910993, 512.0093395775939], [176.86541880709638, 415.80073774789804], [892.3344189259307, 657.3739495633488], [811.950788593625, 34.121841022344945], [155.1908225645011, 119.36309708479908], [946.0273583660961, 771.3716500943211], [524.0516279704142, 386.6874613780988], [70.81261539348105, 716.4276804260257], [619.9907306359481, 411.1536999314509], [524.157343718115, 729.0629142529145], [776.1926650481437, 190.361136627333], [55.56733488929966, 419.84467993355224], [919.1115955286405, 693.3198546645177], [255.84847647855202, 256.45172927930906], [366.450549490655, 682.2142831466995], [446.724317476709, 346.8047294163234], [389.78082610328755, 546.1659546305642], [741.7131142588873, 894.6593588452292], [987.9233024587742, 886.8348906537967], [712.7889328030803, 852.9993374415968], [880.7733878731768, 114.9968904172044], [131.385266433787, 650.5793531826645], [815.9645308467378, 838.8649852561175], [929.8258480302334, 734.5996729053788]]",8204922.85
Perth_49,DLS(I),"[[955.2757667114008, 383.0720750154987], [386.7294009638732, 309.11446970080993], [374.41134449186933, 89.3702394785404], [299.6687501308686, 823.2491344506036], [387.0194429235702, 5.000774216624593], [967.4217854776462, 85.00844102458072], [600.9587759218509, 122.47776386754161], [255.75962404336582, 312.96445877313374], [436.33385139937053, 482.28751113423954], [344.4462236504496, 502.53556964916146], [983.3778890910158, 267.6381453200274], [989.8997023648528, 781.4336244683531], [235.76191694500915, 839.3164969427455], [423.40936050116085, 98.78993899664023], [996.4495447873197, 756.6472374188259], [708.3433497097569, 778.3864955173451], [468.21549779564475, 163.6499404779841], [606.6314142524182, 64.88522417249621], [592.6339446556477, 270.39027030840833], [520.5517884023366, 29.45312393709476], [998.23604019764, 37.69459234988659], [3.279584335391772, 174.26085345657404], [750.8177801521998, 585.5249937933872], [496.33828518466385, 323.49182398796984], [322.63068317531565, 597.4209669289332], [749.4180621810855, 405.4797099379316], [607.5184317434616, 27.733021021526085], [59.401035399251455, 584.7825406027682], [264.5371663413826, 704.2993650035945], [123.21958472090778, 699.0671611433644], [993.62198125491, 79.61635497824493], [349.5181125279766, 160.87568419685604], [439.56442404843375, 671.3303233213389], [636.3612656138725, 665.3004569866748], [467.0455411218197, 499.7136508155567], [827.5111031807334, 340.79905957250065], [146.9808390679367, 905.6033885677333], [208.23564486271272, 731.5931795045786], [64.2487508079217, 579.455344913053], [579.839537801589, 386.5024478642711], [896.2621722860501, 345.3989865316106], [659.8416409540552, 385.0022402365468], [502.7762415522018, 136.7789047700223], [593.7062232783552, 424.1757931341569], [560.2251785619725, 709.6432038445904], [286.3774039761201, 309.747053873239], [532.8330717161149, 708.6683093048667], [333.6619461550706, 749.0191308311528], [652.5502162885588, 930.6307360661293], [297.05813915792123, 405.3086366477822]]",8204922.85
Perth_49,DLS(II),"[[451.3781974200991, 45.129337114921064], [644.9361271681607, 878.7157706534383], [113.88431238341256, 265.0115980341953], [977.1476212395448, 61.101330344267794], [455.7697820822453, 674.9927272833334], [264.08881285311503, 911.8291042896379], [29.380364273445036, 666.7998053180273], [721.7260364078129, 310.72865087778587], [336.80718567360447, 582.913661792415], [833.4224186313149, 694.4269859979242], [55.53718647479145, 183.5155506440278], [703.987311587586, 158.23882131975685], [518.0871017890723, 30.753720075024084], [604.9101740040404, 619.5631320222845], [43.640754210923724, 660.8186930594054], [498.86169643866907, 421.01035970057023], [709.8788959780001, 301.87518436776827], [816.2313373665181, 453.83886789287385], [550.3831352240792, 807.0592219060022], [401.63586810977404, 747.3368957273974], [491.59471945083675, 94.58046157552546], [246.80184203117196, 582.4778160281694], [230.5044108336356, 885.0434977250275], [93.28820643435054, 529.8213784888329], [201.17405232316233, 400.93845402524266], [849.6724387622379, 390.9851985111431], [842.982683804196, 566.3109168524433], [984.0773486683355, 305.50035618581416], [346.08458145283385, 56.459450739281266], [546.1352726990892, 179.59399593730552], [316.457336194356, 407.1451554966562], [920.1916152669407, 191.5237396477455], [742.1833386522181, 976.5090524038253], [19.811490743121606, 345.84484162451], [852.9487516930274, 133.95807547117], [989.7164177470086, 746.8141374938805], [666.3448953291872, 812.1779594067077], [151.71532541941056, 299.86816416430486], [425.5228952662249, 773.4229816922297], [839.8554090398618, 743.618860383754], [687.663388971858, 615.1559481558163], [126.33608539971397, 118.04878885639036], [445.13393136554123, 249.1851478339785], [382.36471907865865, 750.3622069635734], [492.66447973634877, 649.6681822989436], [45.42218585295399, 134.58496700457678], [485.55835664988047, 450.2825658430276], [648.5100663737185, 113.20523259684678], [596.1578430734905, 744.1620040118673], [479.0548531922986, 872.1186559368853]]",8204922.85
Perth_100,DE,"[[834.3373360510632, 178.1393607865761], [624.3812049897184, 616.0775715170973], [775.0343758872932, 856.6584978792739], [128.01574331065143, 948.1836912663441], [572.4252373001309, 272.4340896505064], [440.59286819355907, 176.56801328558123], [389.83710475337716, 475.18623738592896], [613.090804776494, 43.68701376212789], [999.7728196270564, 399.0837891983356], [215.13654725631295, 312.8468632085685], [173.61745616514924, 681.646680739973], [468.2838910585567, 997.3973795993683], [904.3136528447218, 567.4819737496505], [782.5367793262543, 460.6467592225012], [719.1112193364006, 752.4814287331767], [457.66844696159205, 264.1207492575761], [638.8627492599429, 226.39360497303062], [968.9712839687228, 394.8276220279021], [248.45174049575468, 868.0705074300035], [162.58360274192995, 213.44730411265857], [925.261561775573, 206.2387662080689], [713.2114147191625, 897.3806341818716], [714.5719170102924, 61.777838620056684], [219.37114843191102, 991.6966360476613], [430.00219429077407, 34.4716092078271], [331.61331603410315, 372.91046973003495], [804.8504650132312, 426.4925125533933], [337.8450515189154, 723.3818794998973], [674.415543354175, 444.42149730863775], [656.8842815992396, 719.0620523689356], [621.9522671841914, 342.43177097444726], [829.349657472322, 968.08504942833], [389.304826775858, 752.2384285629264], [723.5265174483065, 70.27445386461272], [541.237388549763, 320.33906705838916], [26.40344307767174, 284.81185423092927], [24.90676908159105, 761.190984177387], [140.7120758404493, 69.11923912291985], [547.3197279078975, 545.5426329018624], [350.74329411926703, 472.74513652768127], [140.9927756515075, 588.2611191060641], [937.5861350130231, 423.75212825814083], [806.2122903492183, 80.47051936630055], [882.7753081226008, 339.27477893361134], [961.3313610708647, 407.10074153361063], [858.8422460592054, 693.7555103757031], [267.26593507042276, 379.95276262569365], [963.1982104743724, 181.34370582841808], [841.8538819199648, 767.6194965837011], [830.2623599077897, 693.9160417758969], [573.0187098831691, 292.50810282728884], [37.06595884214096, 249.03927473947613], [211.13960535208133, 286.37928266155996], [826.1156918167479, 158.26762446856168], [474.6099287357547, 431.99506526246535], [1.699124673538222, 474.08510768074575], [934.2446708092957, 670.4780648512804], [534.805032306345, 614.2499582574314], [221.9673584281445, 208.7082416708795], [663.3571745173248, 187.3625790958675], [975.9920810546602, 167.06811951288068], [76.8588041648236, 504.08558360004196], [716.2534338778923, 509.4741970122314], [587.407043268767, 93.26991233304597], [965.329683420034, 120.69346217143749], [299.3849782523861, 353.2406742944447], [695.3322535229552, 362.49715775827144], [792.3857491265103, 130.45635091984474], [882.6191328621592, 757.2291400833914], [381.2201386512426, 276.4467350134503], [68.35826699757422, 791.1400463648978], [875.8215005573386, 208.7152087781629], [399.53715106411227, 523.633058667598], [649.912288408519, 647.4815081804084], [391.7774376637103, 986.2226928897933], [982.4810097381255, 316.3539175111294], [44.2699930260444, 187.44499941720403], [326.21648447906296, 739.189244448957], [797.0020201750344, 545.3279059035589], [222.03089274168224, 485.5175219031422], [461.8289540916382, 805.7510314623881], [391.9473906934678, 545.8952329317058], [49.27803193273661, 800.3159906398189], [743.9438297362356, 320.1473887451116], [506.71687305256927, 906.2082381444906], [394.8413613825328, 183.12074993890747], [853.8787692803751, 285.5905902532761], [503.8668843815982, 171.8051682313113], [301.2938037062017, 853.2558222860154], [609.3438002156755, 766.6212078635449], [295.52974131517306, 34.8545322687267], [241.87329949541117, 640.5524269867572], [310.38869728174546, 641.7096348095797], [645.2856654712084, 102.03079574515704], [543.1277081588802, 874.6844038693159], [56.0608934828698, 865.9130126735259], [893.7663082867559, 998.5001229190157], [654.2197823163024, 138.64448218703586], [231.36094636418477, 339.733302529742], [343.83903344026965, 403.1231650311305], [819.7149190400105, 513.8864586531068]]",14515970.079999998
Perth_100,IDE,"[[840.9342908406345, 514.8715069134387], [642.4675620741606, 517.3814619710772], [759.0798844445561, 383.86618622554136], [443.9269001237269, 69.26734498366108], [261.1607069604635, 849.5523729270803], [561.8666286767557, 630.4260455507224], [555.8389295323695, 21.514475961273092], [64.31817070200754, 592.8704285245921], [305.53308830053084, 327.21070421010506], [480.26596424253626, 957.5336127579608], [585.4279929610036, 153.55942826748537], [871.1513011798534, 649.8419960176847], [192.31861435503208, 808.2287033937757], [726.2415032540157, 619.2082579663879], [961.1664132601404, 597.1982928064231], [874.6355868990693, 364.34262959267824], [497.6263585274424, 244.18301852579344], [184.21324865637047, 198.09063726122497], [105.6507251785419, 59.010834385653084], [527.6377220948619, 469.115826910931], [879.3962189923768, 906.8146059912424], [924.5014617473248, 867.7054268660662], [468.9766362880186, 790.8564126462798], [110.71162515078356, 818.6598905373626], [437.312090421216, 945.6808732853842], [906.6176928493594, 453.3338432945121], [902.1552602556569, 397.5707832454488], [585.0843899384938, 172.47042264779975], [546.5446309756862, 495.2003392098564], [429.6058036674226, 448.48428483946793], [8.500434949651265, 138.46352512395674], [826.4670197047258, 82.16308309797438], [2.719942956542411, 895.6444276646774], [465.02580630884097, 320.76704170443276], [113.37191808283507, 357.076119825255], [784.8125452504269, 263.28773164844824], [931.0248407220627, 601.8678887987564], [258.5033875094956, 540.8791355308938], [824.0872087866433, 527.373936722306], [63.071450797158036, 914.7750106862417], [121.70098518203275, 677.5365620028473], [447.515044585798, 833.611761352378], [521.0207465445355, 148.12945633612617], [855.744631322169, 514.8861943079802], [158.34502042584762, 516.6021370120327], [850.7045012486702, 812.5616485754365], [998.050544777506, 244.29908329581673], [537.7845092652087, 162.99507119377068], [578.2130848861069, 150.165835695937], [311.75471082894705, 764.0961046571414], [201.57941069399578, 286.5798400087536], [531.3755470709052, 112.25587502418233], [112.25133791325493, 44.073661183877675], [126.42141620775527, 554.7329082359356], [631.5776840095668, 843.2084768190593], [444.0049383851845, 9.974642448937743], [736.3860416583628, 972.5384176473788], [690.5278185895797, 206.4032414525975], [508.4194375398453, 22.058966196879908], [193.01603667621913, 613.2368824983903], [941.8185355367175, 219.11231846604716], [215.2718976016319, 537.2038724147421], [992.0215178345857, 692.7239028458241], [292.89588457928323, 81.01818060127977], [245.25522674416956, 175.7440347090652], [488.2800566834489, 488.61450595944245], [308.3897175826007, 750.9110619303933], [264.54909645777343, 553.1140317484172], [334.35965013694806, 31.558044949368877], [878.3964408113918, 518.3360744399314], [439.34197217391636, 567.237088509519], [38.696707309778276, 931.7130186694212], [91.3865310036984, 262.7929464557512], [35.46976428683911, 360.85014834632244], [957.3586746515243, 873.3215301570121], [736.4198256360801, 618.0788187302767], [554.0676981344051, 593.5222485804377], [231.24278709477136, 166.30959072754723], [406.2170560518395, 305.36861060678814], [228.42046294766538, 795.8545318675488], [622.2237645012725, 396.2659995723706], [99.99802808438108, 821.9158142644042], [73.71201352773784, 149.76235065827422], [908.4852832505425, 523.0032896306609], [994.260652999258, 886.0270657954045], [777.5012872098398, 952.7178057456686], [814.3673342678435, 473.5906951063178], [476.23230045629737, 66.23601294500679], [790.6509368153509, 256.5356231360709], [100.25002356846153, 526.876969153512], [535.0191617538884, 520.8358544359304], [978.2475002348623, 508.1498107767345], [143.28806356835628, 419.5596868993532], [490.0013414377853, 498.63444528576804], [100.87188255518254, 508.2130210596696], [919.0542996353256, 827.0043235202091], [418.5553212648881, 695.1058981267355], [660.476327628775, 5.970265944262394], [452.84437217164043, 151.36087797416923], [963.9869476542899, 311.3977371904968], [76.18161055252517, 534.0154999948705]]",14515970.079999998
Perth_100,LS-NM,"[[216.38737095624194, 876.093638695155], [298.2490681265856, 468.67701590830615], [214.96539728458396, 834.4193069020355], [273.21181865219245, 634.5983091190228], [247.02487465257826, 928.9089128418352], [148.8128653951315, 88.11296487579278], [379.0849517321224, 165.39725567502873], [821.5850491650623, 97.04742153789702], [906.7739938585851, 130.65343989959476], [22.847172594889553, 760.1486347275531], [575.9455615816584, 264.2043739391401], [409.5743999117617, 100.83013009435926], [647.4037702115123, 176.97511871319082], [193.86566843233155, 622.1416441831806], [53.32974843970217, 8.835811108299453], [306.27950286138685, 544.5843226118934], [802.4978542659514, 286.77079662293295], [875.6109805613387, 87.14677926213288], [920.2653767129493, 154.16410179192997], [378.1882253412984, 697.6874429598215], [420.4890692861845, 456.9647110940648], [364.5123269628081, 718.5030818071194], [717.8081714591966, 268.16447750396986], [791.389637428171, 892.0115755778324], [897.617948303824, 385.65424675450674], [432.5629734013364, 643.2199622767223], [977.4847678650766, 750.5132450004], [409.53266191603086, 802.3242265409044], [578.8951266621093, 121.54642595523191], [327.2061138917761, 390.2492500378759], [980.9767222223443, 78.9874479212257], [374.77021931120555, 829.1707104651724], [63.76437524693313, 531.4626696255549], [121.07907850220612, 745.9880347765874], [688.1628263159698, 142.3760280820826], [516.3712049598885, 658.6711169302167], [926.4146693014584, 458.59242660953134], [447.5323759880826, 911.4476845473256], [513.7268769233053, 767.1077077159994], [196.2407138296446, 617.4003922053321], [189.29348651625867, 435.7405550585062], [21.800366295709583, 82.78883870569986], [71.67760956323643, 785.1737607195124], [634.098985763059, 548.9314915615344], [7.296646065386603, 606.0538542014779], [18.61569986080469, 589.435105664536], [618.0656331308297, 782.151887260499], [172.41269660570302, 987.4072271094836], [725.3792385622794, 357.2779009082661], [131.0845404856066, 253.54740691275524], [299.9986357566187, 535.2247428346818], [193.02483855363917, 756.6331438453188], [562.180810501884, 262.293774827456], [899.1980636850371, 726.2910621246863], [641.0950451016779, 907.7303572438223], [178.72066799942476, 546.7204995444729], [884.4551240841142, 464.8559545947621], [994.4416132017415, 776.7577153093251], [94.29492658076765, 685.9325897637223], [474.6674560807351, 558.4488390046524], [770.8493748829326, 188.10332213308624], [496.84292101776293, 4.7941096997845545], [306.250354578372, 590.8573653853528], [394.20320347628723, 798.7424673922682], [934.3019555456995, 620.3320429583282], [594.6147675583637, 754.0110424475039], [171.443088858358, 944.2267774640529], [915.4430165652333, 742.2623860109198], [779.5801865719822, 525.3034107427525], [434.60236902236073, 391.33411426217236], [483.71502768818874, 475.60718018696826], [492.71179583123745, 2.209184648662932], [700.7749129841659, 791.5546665668984], [687.0354308989489, 272.6752533427781], [597.3558669135991, 485.2682066665525], [47.798653193219295, 744.0308828134895], [666.3448885625947, 908.5850801247275], [705.5372836571681, 832.7465129401277], [180.27540952546883, 669.6978563664708], [821.1926542278568, 507.95720786825405], [835.5361270833256, 326.1358952693025], [827.608656948676, 585.1239240501977], [275.56253395415155, 963.2164052830323], [725.3670004545911, 454.9040981787335], [798.1370346856436, 277.71298577967883], [636.8579541478882, 869.7781546661282], [948.7556416103987, 848.0447081749566], [78.54531488411997, 723.9975873563226], [505.64678118142194, 840.3926317032117], [484.5315728438051, 981.7497544327285], [385.9543522761509, 763.6834619749018], [54.817834604525714, 749.005918538538], [178.61504592446752, 894.2095357548734], [607.8178417221246, 759.9037267460832], [678.1268732571781, 37.67164775866061], [730.3227148091296, 412.0675089049157], [768.712713325986, 117.66027594340866], [648.7186788592685, 557.2938630053128], [766.5267578199981, 934.7655377244488], [645.7795307363831, 184.2901119802586], [471.19461093175676, 220.92247652639185]]",14515970.079999998
Perth_100,DLS(I),"[[54.83182397442887, 747.5536548666805], [893.2152348096763, 439.92467299990676], [807.7529175860483, 686.8015332520687], [888.4332945984546, 671.1982518393623], [993.4472582302828, 361.1641008148436], [146.76473322043137, 266.85853122895406], [284.9266006813068, 867.390017703658], [427.7378929158298, 341.9592735414766], [866.5367715955962, 689.3592797976829], [452.15239059698285, 482.65595771334023], [424.93799756621974, 302.8608203139904], [824.0766161089272, 68.62457313047288], [704.0775225163716, 293.02484713023], [374.5110495470357, 957.3075334739344], [39.24372405949017, 772.9586832644978], [6.000380708799935, 405.86088381160624], [72.68575445275782, 796.8780524865268], [596.145266110661, 139.12263609509867], [573.4218902977299, 921.2571911304904], [203.38305290470083, 615.990757930144], [94.88708809019286, 167.7766841025784], [307.19489893222317, 135.72911725588077], [693.8211075956957, 46.19622063710194], [377.6019357615079, 733.8691276413009], [885.7131113075542, 58.36654690052989], [24.66070208816351, 630.3570680427127], [61.43769908429353, 945.1969916519769], [319.14666474781507, 82.65124327965023], [472.69481251207026, 364.4867468239057], [910.9759092459217, 950.6873881967384], [985.3252207750099, 900.8366495195887], [851.7080773358688, 455.64278349140164], [668.7777583850053, 927.6261056479525], [870.8149151182064, 165.68817898264155], [685.5467134546434, 825.9050930782718], [709.3629264893843, 443.0185678065597], [190.70350464589626, 523.3300470020046], [205.16961292956603, 693.69998912627], [836.5546570968754, 819.7153753178441], [561.6619988944525, 609.1089926648015], [433.38870815554696, 34.477784403735726], [682.6349882284521, 489.39450403608566], [145.34404925721245, 182.05862359258663], [729.1513264719042, 233.25102124934227], [875.3034822830562, 608.9240652891627], [149.51520183859347, 485.3642745896145], [53.152037024477124, 354.74855485779887], [226.54369500678018, 652.3865050901353], [973.652103808864, 504.5764635988401], [659.319013829904, 822.0206057725543], [331.56818696757273, 888.4549611491963], [184.05908312839347, 694.1138810197624], [693.3866428224621, 992.328999818628], [273.3858479814023, 558.890678874841], [783.3178692693505, 248.57652615783266], [130.30044892328928, 465.736495084212], [378.8397877861801, 3.8223719162951975], [431.9866360195152, 253.8178451400759], [248.9830017205553, 236.97098613098288], [863.3797568428755, 525.3841041944627], [498.26991306683334, 14.004561698441442], [804.1727282531245, 234.21904522473037], [374.1572710810337, 831.3982392915472], [610.0592354840857, 517.6396927076453], [845.1100786945185, 102.70890402302591], [460.17479765112324, 440.60984620630984], [214.7827858822996, 427.7084792407665], [620.6376315624668, 603.3228807835975], [531.6397333470538, 84.05706806744395], [243.2058957519071, 294.7200842037383], [27.254797133520302, 430.30367965693705], [106.23180410868704, 542.7798324076459], [467.46116261582404, 838.2871976580944], [491.24218832364807, 83.88526993621403], [758.0895687253411, 630.5479160749773], [250.34271454722546, 752.1892101823571], [553.4857876872935, 82.96601574533402], [56.095634563380294, 534.5074130462817], [387.2055345437746, 360.2827256752452], [406.25383182594857, 504.59440827685063], [202.75321422613467, 917.3038041275812], [26.436597440714248, 909.0140747677892], [885.8483894591562, 485.1315664504915], [138.68235316635048, 455.8409110610434], [930.5145145729515, 671.2352760198427], [186.65244534278347, 867.0992912124541], [772.2651426720261, 540.8370560476376], [872.1583351124177, 375.0990539771314], [588.7315214623851, 488.5759619392527], [778.2163262590593, 361.16742130323274], [975.3996119154347, 885.8585998115257], [835.8897232183077, 970.4611855451135], [787.4083031496253, 366.69663904988295], [155.19387196109423, 610.0935503987613], [953.5566600877141, 447.2481025749045], [667.762382088695, 875.0131410309177], [888.5175804991858, 821.1836914222067], [847.0041519814837, 497.8355907780456], [13.898128722278358, 959.2990811445135], [887.9454680761226, 854.1208829503367], [816.5072233642193, 224.38844272922765]]",14515970.079999998
Perth_100,DLS(II),"[[38.04176296769612, 645.507231763456], [311.5947288751262, 395.8428564453009], [670.528029133458, 530.7780651651027], [600.7413984708367, 794.4214735677385], [656.7931146785727, 582.2926268442704], [623.2002517156809, 158.97326981539496], [902.1922649948723, 960.2482156742903], [81.58828233857407, 219.99906617728072], [282.0529794889278, 194.23050680773724], [16.715816108294092, 811.2974122426058], [488.28764711136097, 511.24823660266514], [851.3814231004452, 601.2376801164091], [928.5772531093068, 989.061242504649], [933.0774630657756, 228.63722703609113], [880.3173427013264, 449.46943553252004], [409.85981225873655, 937.6318046795301], [546.8727731632991, 622.2464384743419], [525.4803702349903, 648.6752760581206], [820.986039903236, 103.9839892453428], [27.67144556210843, 990.6643761760399], [633.7292946068807, 772.1706000492236], [606.6310828290394, 848.2634318954292], [342.0195931708493, 68.86019626729866], [823.055706965363, 592.3774785379031], [941.1946785447487, 707.1438565111055], [16.89647606037714, 50.869981672200026], [348.63562500358614, 589.0791703403048], [534.8087484670899, 511.67358186800084], [964.5344699260994, 595.7066338168739], [682.6650672937658, 528.9970272369767], [124.3284355734583, 601.9359425006232], [16.63841688900036, 973.273053814192], [400.7215425952044, 435.99412761802114], [936.2371506606155, 897.4477364524352], [814.9927048319195, 59.341483567383115], [51.36529972188486, 256.2533744047256], [425.7506760103118, 489.2089536597699], [845.7429110939378, 613.8130112898408], [519.1292100105927, 934.3416723500354], [729.3322054423893, 245.47084515502237], [194.72954617234217, 641.6424289588305], [384.59295456892573, 685.4157948515332], [988.9299859895576, 142.0965952650577], [37.36654695225739, 453.51794744936547], [238.00186355311138, 503.7112089593935], [542.681928146084, 639.9437044865584], [336.68528450946036, 307.1485442691825], [728.3390214200995, 140.2175775537241], [142.63893510312997, 953.4936874280452], [110.72038314130728, 284.639495967565], [681.4430818668806, 709.4392510093743], [746.0404548554819, 233.35706629772346], [669.1246550802738, 77.01756892374911], [473.00445582411953, 861.2275761605172], [571.2050030940322, 609.40221758956], [526.9981636203922, 515.3900556922981], [193.04024159390622, 636.4986966608062], [155.99167992209783, 527.9163398338394], [136.20062733625403, 921.4966419083993], [909.7709628424859, 217.912851196296], [26.27762027818048, 521.72469702546], [931.0190036443186, 368.784608092381], [820.9969197197825, 890.7645038824895], [951.3416757438861, 260.59675966521934], [445.81913687140406, 917.2755581706168], [480.1120882113502, 766.7979513434882], [636.3863323001561, 236.65590750184796], [103.93810046299478, 924.8035036709317], [911.4762283186235, 200.53235221603148], [579.1039345532714, 406.8026831567886], [29.539788431752868, 784.9492819397213], [989.8479782626098, 798.3412179102412], [882.9099740109393, 190.72087332573452], [780.3316890995745, 997.4373575667037], [433.9624613403154, 249.88417019115073], [599.7996708381489, 950.0934744250092], [376.5051884435361, 999.0700810894649], [289.57166521009134, 449.25595576203426], [638.052209449965, 227.56004551210174], [885.9233068240907, 370.0060493516263], [428.1027435299138, 417.92312451974556], [726.651074475986, 462.69624201292726], [67.76517951241057, 78.07476708435112], [866.6957562172778, 79.60881653562801], [294.8620027038701, 693.2627103611014], [329.5865645180692, 470.77879236034005], [538.2829099948389, 489.88884188967387], [137.13024422074506, 825.7791620010432], [306.42499118565416, 712.4174642659642], [24.309696309181007, 766.4224610903167], [720.5715166357471, 333.56969285232975], [875.9259051345631, 365.94975035410204], [609.0672611146879, 977.9901461845935], [602.9936005992982, 891.9904075222672], [970.7780638357134, 476.74337155349724], [213.21433906413546, 775.1380063633649], [248.99592058720987, 374.07278758510597], [989.4367441848154, 971.2214314755371], [918.0687466660388, 123.77088916918754], [948.448128511272, 582.0865154526205], [825.4125948625007, 212.71681443857514]]",14515970.079999998
